,Sentence
353,hkgnrt good service plane quite new good entertainment system excellent service
354,staff friendly seats new shell design wont disturb person behind
355,nkghkgsfohkgnkg round trip cheap price compared singapore airlines china eastern air china obviously much better service compared two chinese airlines
356,one a321 a330 nkg hkg one b747 b777 hkg sfo nice food friendly staff though told blanket last trip hkg nkg luckily two hour flight
357,leg space provided excellent b747 flight less satisfactory b777 especially 12 hour flight
358,shanghai pudongtaipei taoyuan new b77w lounge pudong disaster china eastern lounge 343 layout economy class cabin really uncomfortable friendly cabin crew wonderful ife hot lunch served 1hour 20 minutes journey
359,back taipei songshanshanghai hongqiao old a330300 still clean well maintained nice cabin crew good lunch served wonderful lounge songshan airport plenty hot food drinks
360,travelled sydney australia tokyo japan planes new clean food excellent airline staff immaculate friendly budget price paid cant go wrong airline
361,sydney shanghai return overall worth money relatively cheaper others food edible plane quite new toilets clean throughout flight seats wide enough average height passengers
362,concern staff service see anyone smile throughout entire flight
363,travelled air china cheapest time flight time delays first leg journey a340 bad food reasonable second leg shanghai sydney plane old food inedible cold
364,drinks provided meals air hostesses command english poor
365,way back food awful legs full badly behaved children asked alcoholic drink told could one dinner entertainment system antiquated really date movies many chinese ones temperamental system
366,would worth paying extra better trip long haul flight needed
367,december 2013 flew australia via shanghai return 3 weeks later flights time business class seats great able lay flat bonus
368,food fantastic service flights first class impressed would fly
369,shanghai beijing return expect much surprised high level service great food beverages comfortable seating considering domestic flight
370,✅ verified review china southern airlines guangzhou bali return flight time 5 hours
371,flight attendant helpful friendly
372,clean airplane flight time
373,service excellent friendly
374,food okay economy class
375,seats good enough leg space
376,onboard entertainment system excellent
377,✅ verified review china southern airlines guangzhou sydney flight time 9 hours
378,friendly staff clean airplane flight time
379,service excellent friendly
380,food okay economy class
381,seat good enough leg space
382,onboard entertainment system excellent
383,✅ verified review china southern airlines dalian beijing flight time 50 minutes
384,friendly staff clean airplane flight time onboard entertainment system good
385,since flight time short meal water small snacks
386,seating standard okay economy class maybe newer planes better seating space short domestic flight enough
387,✅ verified review excellent value service good
