,Sentence
1091,service onboard excellent
1092,flew manchester bangkok 13 january 2014 flights departed time arrived bangkok 15 minutes early
1093,overall good experience helped friendly hardworking crew
1094,overall excellent experience recommend
1095,flight bkk prg via kiev good price schedule ideal us delays new terminal kbp
1096,service fine dont get extras need pampering look elsewhere pay
1097,✅ trip verified time flight zrh ewr friendly fa comfy seat good food little cclass standard
1098,fly united airlines entertainment great whole seasons tv shows
1099,✅ verified review fly united three four times month last two years recall last time departing flight left time
1100,maintenance computer problems crew issues inbound aircraft issues flight queue problems seem always lead delay
1101,first flight manchester philadelphia super plenty seat space family seated together cabin crew attentive supplying complimentary drinks food
1102,entertainment great tv back seat multiple options tv movies music plenty keep kids occupied 7 hour flight airline provided ear buds
1103,philadelphia san francisco entertainment 6 hour flight complimentary drinks snacks cabin space ok
1104,given entertainment flight seemed longer expected
1105,great flight seat 6k aircraft quite old good overall condition departed time heathrow arrived early chicago
1106,service board excellent inflight entertainment food pretty good
1107,cabin crew friendly enough luggage arrived ok im happy united
1108,flew dulles washington london heathrow 7th april 2014 although economy best flight experienced usually sit window fly time opted aisle make life much easier flying
1109,anyway although economy service first class cabin crew excellent nice looked cabin crew genuine smile rather false grin
1110,free television back seat also nice addition anyway thanks united great trip
1111,frasfo 747400 might 9 10 star review except late 30 minutes delivery bags sfo priority bags apparently given priority service onboard impeccable staff attentive professional everything could make long flight comfortable possible ua really need start handing pyjamas f could also make bed softer well making blankets thicker wider really want passengers get good sleep
1112,food ok nothing special mushroom soup small cup best course beef tough
1113,us 731 business class lhr clt a330300 24th october 2014 good seat 1a great service good food
1114,unfriendly staff broken seats enough pillows everyone one drinks service 7 hours really bad food unclean toilets old movies russian uzbek
1115,drunk passenger onboard annoying passengers staff could handle
1116,✅ trip verified pleasant flight vietjet air
1117,reasonable price provided good service
1118,airplane new comfortable seats food good inflight crew helpful friendly
1119,possibility reserving seats booking flight would great may online checkin 24 hours prior boarding
1120,also good online checkin possible 48 prior departure travel many hours prior flight
1121,flight hcm hanoi excellent much fancy good legroom clean aircraft good service ontime
1122,reading reviews came surprise return journey good older plane
1123,food also excellent overall experience fantastic
1124,booked online got fantastic price vietnam airlines
1125,flight sgn a320 comfortable ample legroom economy
1126,crew service efficient food drinks served okay
1127,flight sgn kix new plane interactive entertainment features unfortunately put much use night flight return flight kix sgn older one shows clips everyone
1128,flights time food okay service good
1129,impressed level service hong kong hanoi food excellent esp seafood staff friendly professional
1130,flight time return
1131,good ticket price
1132,good direct flights gatwick hanoi ho chi min back gatwick direct
1133,seats comfortable despite 10 hours one way 12 coming back
1134,service good
1135,domestic flights great flown past 3 years usually least 34 flights year economy business class flights always time staff helpful courteous
