,cluster
2472,9
2473,0
2474,9
2475,4
2476,9
2477,9
2478,9
2479,8
2480,10
2481,4
2482,10
2483,0
2484,12
2485,0
2486,14
2487,10
2488,9
2489,7
2490,10
2491,10
2492,9
2493,13
2494,9
2495,10
2496,10
2497,3
2498,10
2499,0
2500,10
2501,8
2502,9
2503,10
2504,10
2505,15
2506,10
2507,10
2508,10
2509,10
2510,7
2511,10
2512,9
2513,1
2514,5
2515,4
2516,0
2517,10
2518,10
2519,0
2520,7
2521,10
2522,3
2523,14
2524,0
2525,10
2526,3
2527,10
2528,1
2529,10
2530,4
2531,10
2532,5
2533,0
2534,10
2535,3
2536,15
2537,4
2538,13
2539,9
2540,10
2541,10
2542,10
2543,0
2544,13
2545,0
2546,6
2547,6
2548,7
2549,13
2550,1
2551,8
2552,6
2553,10
2554,3
2555,15
2556,4
2557,9
2558,10
2559,14
2560,10
2561,0
2562,7
2563,9
2564,8
2565,4
2566,8
2567,9
2568,10
2569,0
2570,4
2571,9
2572,10
2573,0
2574,9
2575,10
2576,8
2577,0
2578,3
2579,10
2580,12
2581,9
2582,10
2583,10
2584,11
2585,3
2586,10
2587,15
2588,3
2589,15
2590,0
2591,10
2592,0
2593,14
2594,10
2595,10
2596,8
2597,14
2598,10
2599,16
2600,15
2601,3
2602,9
2603,10
2604,10
2605,10
2606,0
2607,4
2609,10
2610,10
2611,10
2612,9
2613,5
2614,6
2615,0
2617,0
2618,10
2619,7
2620,0
2621,9
2622,12
2623,0
2624,3
2625,14
2626,10
2627,9
2628,9
2629,3
2630,5
2631,4
2632,10
2633,9
2634,10
2636,0
2638,10
2640,10
2642,9
2643,4
2644,15
2645,10
2646,7
2647,0
2648,8
2649,10
2650,10
2651,6
2652,13
2653,6
2654,1
2655,3
2656,0
2657,3
2658,8
2659,0
2660,13
2661,3
2662,9
2663,9
2664,8
2665,6
2666,0
2668,0
2669,5
2670,10
2671,4
2672,0
2673,10
2674,10
2675,7
2676,10
2677,9
2678,6
2679,11
2680,0
2681,9
2682,0
2683,12
2684,13
2685,5
2686,7
2687,14
2688,10
2689,10
2690,13
2691,5
2692,9
2693,12
2694,0
2695,10
2696,8
2697,9
2698,10
2699,10
2700,10
2701,9
2702,11
2704,10
2705,4
2706,6
2707,9
2708,15
2709,9
2710,10
2711,9
2712,7
2713,6
2714,7
2715,8
2716,7
2717,15
2718,10
2719,12
2720,0
2721,5
2722,0
2723,9
2724,15
2725,3
2726,7
2727,9
2728,9
2729,9
2730,9
2731,6
2732,15
2733,5
2734,10
2735,16
2736,3
2737,9
2738,11
2739,4
2740,10
2741,0
2742,15
2743,10
2744,9
2745,9
2746,16
2747,15
2748,4
2749,4
2750,16
2751,0
2752,3
2753,0
2754,3
2755,10
2756,3
2757,8
2758,1
2759,10
2760,11
2761,9
2762,7
2763,10
2764,10
2765,0
2766,8
2768,10
2769,10
2770,10
2771,9
2772,6
2773,10
2774,6
2775,10
2776,3
2777,10
2778,0
2779,10
2780,9
2781,0
2782,10
2783,0
2784,0
2785,10
2786,8
2787,4
2788,7
2789,8
2790,0
2791,8
2792,9
2793,10
2794,7
2795,7
2796,10
2797,0
2798,3
2799,10
2800,9
2801,15
2802,10
2803,15
2804,6
2805,7
2806,10
2807,7
2809,4
2810,9
2811,9
2812,10
2813,3
2814,7
2815,7
2816,7
2817,16
2818,7
2819,3
2820,10
2821,10
2822,10
2823,0
2824,8
2825,6
2826,10
2827,10
2829,10
2830,13
2831,10
2832,9
2833,3
2834,10
2835,0
2836,13
2837,10
2838,10
2839,14
2840,10
2841,10
2842,13
2843,10
2844,12
2845,3
2846,7
2847,10
2848,4
2850,10
2851,0
2852,13
2853,9
2854,12
2855,3
2856,9
2857,9
2858,15
2859,14
2860,12
2861,9
2862,9
2863,10
2864,8
2865,15
2866,7
2867,13
2868,9
2869,10
2870,3
2871,3
2872,0
2873,10
2874,3
2875,9
2876,9
2877,9
2878,9
2879,0
2880,14
2881,14
2882,0
2883,6
2884,10
2885,2
2886,0
2887,0
2888,0
2889,13
2890,6
2891,9
2892,15
2893,0
2894,10
2895,0
2896,9
2897,10
2898,10
2899,0
2900,9
2901,12
2902,15
2903,10
2904,10
2905,8
2906,15
2907,3
2908,9
2909,9
2910,0
2911,10
2912,9
2913,5
2914,12
2915,10
2916,0
2917,10
2918,9
2919,10
2920,0
2921,7
2922,7
2923,7
2924,7
2925,6
2926,9
2927,10
2928,3
2929,13
2930,15
2931,7
2932,8
2933,7
2934,10
2935,4
2936,7
2937,10
2938,10
2939,6
2940,3
2941,9
2942,10
2943,5
2944,10
2945,15
2946,5
2947,10
2948,4
2949,8
2950,0
2951,0
2952,0
2953,7
2954,10
2955,10
2956,0
2957,10
2958,6
2959,3
2960,10
2961,3
2962,8
2963,9
2964,6
2965,10
2966,10
2967,10
2968,4
2969,15
2970,9
2971,7
2972,10
2973,3
2974,12
2975,0
2976,5
2977,7
2978,15
2979,11
2980,10
2981,6
2983,10
2984,10
2985,0
2986,0
2987,10
2988,8
2989,10
2990,9
2991,0
2992,10
2993,7
2994,7
2995,8
2996,10
2997,15
2998,4
2999,10
3000,9
3001,8
3002,14
